[2018-08-25 23:27:51] [INFO   ] discord.client: logging in using static token
[2018-08-25 23:51:13] [INFO   ] cogs.stats: 2018-08-25 20:51:14.817000: Bakagain#1844 in #testing-1 (Discord Bot List): -.color 10 lukee
[2018-08-25 23:51:14] [INFO   ] __main__: 2018-08-25 20:51:15.403000: iWeeti in #testing-1 (Discord Bot List): -.color 10 lukee
[2018-08-25 23:51:14] [INFO   ] cogs.stats: 2018-08-25 20:51:15.403000: iWeeti#4990 in #testing-1 (Discord Bot List): -.color 10 lukee
[2018-08-25 23:51:36] [INFO   ] __main__: 2018-08-25 20:51:37.507000: Bakagain in #testing-1 (Discord Bot List): -.color 10
[2018-08-25 23:51:36] [INFO   ] cogs.stats: 2018-08-25 20:51:37.507000: Bakagain#1844 in #testing-1 (Discord Bot List): -.color 10
[2018-08-25 23:51:46] [INFO   ] __main__: 2018-08-25 20:51:47.675000: SamuraiStacks in #testing-1 (Discord Bot List): -.color 1
[2018-08-25 23:51:46] [INFO   ] cogs.stats: 2018-08-25 20:51:47.675000: SamuraiStacks#5873 in #testing-1 (Discord Bot List): -.color 1
[2018-08-25 23:51:58] [INFO   ] __main__: 2018-08-25 20:51:59.997000: SamuraiStacks in #testing-1 (Discord Bot List): -.color 2
[2018-08-25 23:51:58] [INFO   ] cogs.stats: 2018-08-25 20:51:59.997000: SamuraiStacks#5873 in #testing-1 (Discord Bot List): -.color 2
[2018-08-25 23:53:17] [INFO   ] __main__: 2018-08-25 20:53:18.323000: iWeeti in #testing-1 (Discord Bot List): -.blur
[2018-08-25 23:53:17] [INFO   ] cogs.stats: 2018-08-25 20:53:18.323000: iWeeti#4990 in #testing-1 (Discord Bot List): -.blur
[2018-08-25 23:53:46] [INFO   ] __main__: 2018-08-25 20:53:47.767000: iWeeti in #testing-1 (Discord Bot List): -.reload image
[2018-08-25 23:53:46] [INFO   ] cogs.stats: 2018-08-25 20:53:47.767000: iWeeti#4990 in #testing-1 (Discord Bot List): -.reload image
[2018-08-25 23:53:48] [INFO   ] __main__: 2018-08-25 20:53:49.932000: iWeeti in #testing-1 (Discord Bot List): -.horisontal
[2018-08-25 23:53:48] [INFO   ] cogs.stats: 2018-08-25 20:53:49.932000: iWeeti#4990 in #testing-1 (Discord Bot List): -.horisontal
[2018-08-25 23:54:12] [INFO   ] __main__: 2018-08-25 20:54:12.998000: iWeeti in #testing-1 (Discord Bot List): -.reload image
[2018-08-25 23:54:12] [INFO   ] cogs.stats: 2018-08-25 20:54:12.998000: iWeeti#4990 in #testing-1 (Discord Bot List): -.reload image
[2018-08-25 23:54:15] [INFO   ] __main__: 2018-08-25 20:54:15.759000: iWeeti in #testing-1 (Discord Bot List): -.vertical
[2018-08-25 23:54:15] [INFO   ] cogs.stats: 2018-08-25 20:54:15.759000: iWeeti#4990 in #testing-1 (Discord Bot List): -.vertical
[2018-08-25 23:54:35] [INFO   ] __main__: 2018-08-25 20:54:36.144000: MrJekylle in #testing-1 (Discord Bot List): -.vertical
[2018-08-25 23:54:35] [INFO   ] cogs.stats: 2018-08-25 20:54:36.144000: MrJekylle#0026 in #testing-1 (Discord Bot List): -.vertical
[2018-08-25 23:54:45] [INFO   ] __main__: 2018-08-25 20:54:46.282000: iWeeti in #testing-1 (Discord Bot List): -.emboss MrJekylle
[2018-08-25 23:54:45] [INFO   ] cogs.stats: 2018-08-25 20:54:46.282000: iWeeti#4990 in #testing-1 (Discord Bot List): -.emboss MrJekylle
[2018-08-25 23:55:05] [INFO   ] __main__: 2018-08-25 20:55:06.604000: MrJekylle in #testing-1 (Discord Bot List): -.horisontal
[2018-08-25 23:55:05] [INFO   ] cogs.stats: 2018-08-25 20:55:06.604000: MrJekylle#0026 in #testing-1 (Discord Bot List): -.horisontal
[2018-08-25 23:55:14] [INFO   ] __main__: 2018-08-25 20:55:15.537000: iWeeti in #testing-1 (Discord Bot List): -.reload image
[2018-08-25 23:55:14] [INFO   ] cogs.stats: 2018-08-25 20:55:15.537000: iWeeti#4990 in #testing-1 (Discord Bot List): -.reload image
[2018-08-25 23:56:45] [ERROR  ] asyncio: Unclosed client session
client_session: <aiohttp.client.ClientSession object at 0x0EE6E370>
[2018-08-25 23:56:45] [ERROR  ] asyncio: Unclosed client session
client_session: <aiohttp.client.ClientSession object at 0x0DAFBCD0>
[2018-08-25 23:56:45] [ERROR  ] asyncio: Unclosed client session
